import time: self [us] | cumulative | imported package
import time:       319 |       2172 |               numpy.lib._utils_impl
import time:       291 |       2463 |             numpy.lib._format_impl
import time:        97 |       2560 |           numpy.lib.format
import time:       422 |        422 |           numpy.lib._datasource
import time:       443 |        443 |           numpy.lib._iotools
import time:       636 |       4776 |         numpy.lib._npyio_impl
import time:       123 |        123 |             numpy.lib._ufunclike_impl
import time:       322 |        444 |           numpy.lib._type_check_impl
import time:       470 |        914 |         numpy.lib._polynomial_impl
import time:       238 |        238 |         numpy.lib._shape_base_impl
import time:       108 |        108 |         numpy.lib._version
import time:        90 |         90 |         numpy.lib.introspect
import time:       277 |        277 |         numpy.lib.mixins
import time:        75 |         75 |         numpy.lib.npyio
import time:       538 |        538 |           numpy.lib._scimath_impl
import time:        79 |        617 |         numpy.lib.scimath
import time:       244 |      21208 |       numpy.lib
import time:       368 |        368 |       numpy._array_api_info
import time:      2511 |      56105 |     numpy
import time:       237 |        237 |       dateutil._version
import time:       274 |        511 |     dateutil
import time:       570 |        570 |           threading
import time:       466 |       1036 |         sysconfig
import time:       531 |        531 |         _sysconfigdata__darwin_darwin
import time:       308 |        308 |         _osx_support
import time:       795 |       2668 |       pandas.compat._constants
import time:       225 |        225 |           pandas.util
import time:      1594 |       1819 |         pandas.util.version
import time:       302 |       2120 |       pandas.compat.numpy
import time:        59 |         59 |         pyarrow
import time:       126 |        185 |       pandas.compat.pyarrow
import time:       767 |       5739 |     pandas.compat
import time:       369 |        369 |             numpy._typing._add_docstring
import time:       274 |        642 |           numpy.typing
import time:       473 |        473 |               zlib
import time:      1810 |       1810 |                 numpy.random._common
import time:       444 |        444 |                     binascii
import time:       332 |        775 |                   base64
import time:      2237 |       2237 |                     _hashlib
import time:       507 |        507 |                       _blake2
import time:       336 |        843 |                     hashlib
import time:       317 |       3396 |                   hmac
import time:       475 |        475 |                       _bisect
import time:       214 |        688 |                     bisect
import time:       714 |        714 |                     _random
import time:       782 |        782 |                     _sha2
import time:       646 |       2828 |                   random
import time:       273 |       7272 |                 secrets
import time:      2137 |      11218 |               numpy.random.bit_generator
import time:      1954 |      13643 |             numpy.random._bounded_integers
import time:      1307 |       1307 |                 numpy.random._pcg64
import time:      1414 |       1414 |                 numpy.random._mt19937
import time:      3094 |       5815 |               numpy.random._generator
import time:      1572 |       1572 |               numpy.random._philox
import time:      1330 |       1330 |               numpy.random._sfc64
import time:      2702 |       2702 |               numpy.random.mtrand
import time:       309 |      11726 |             numpy.random._pickle
import time:       251 |      25620 |           numpy.random
import time:      1539 |      27800 |         pandas._typing
import time:       760 |        760 |                 _opcode
import time:       432 |       1191 |               opcode
import time:       642 |       1833 |             dis
import time:       363 |        363 |               importlib
import time:        50 |        412 |             importlib.machinery
import time:       258 |        258 |                 token
import time:        32 |         32 |                 _tokenize
import time:       779 |       1068 |               tokenize
import time:       322 |       1390 |             linecache
import time:      1483 |       5116 |           inspect
import time:       280 |       5396 |         pandas.util._exceptions
import time:       650 |      33845 |       pandas._config.config
import time:       412 |        412 |       pandas._config.dates
import time:        40 |         40 |           _locale
import time:      1409 |       1449 |         locale
import time:       266 |       1714 |       pandas._config.display
import time:       143 |      36112 |     pandas._config
import time:       103 |        103 |       pandas.core
import time:      1115 |       1115 |             pandas._libs.pandas_parser
import time:       899 |        899 |             pandas._libs.pandas_datetime
import time:      1631 |       1631 |                           pandas._libs._cyutility
import time:      1653 |       3283 |                         pandas._libs.tslibs.ccalendar
import time:      1616 |       1616 |                         pandas._libs.tslibs.np_datetime
import time:      2551 |       7450 |                       pandas._libs.tslibs.dtypes
import time:      1461 |       1461 |                         pandas._libs.tslibs.base
import time:      2366 |       2366 |                             pandas._libs.tslibs.nattype
import time:       366 |        366 |                                   zoneinfo._tzpath
import time:       201 |        201 |                                   zoneinfo._common
import time:      2241 |       2241 |                                   _zoneinfo
import time:       335 |       3142 |                                 zoneinfo
import time:       308 |        308 |                                 pandas.compat._optional
import time:       277 |        277 |                                         importlib._abc
import time:        82 |        358 |                                       importlib.util
import time:       780 |       1137 |                                     six
import time:        22 |         22 |                                     six.moves
import time:       312 |        312 |                                     dateutil.tz._common
import time:       266 |        266 |                                     dateutil.tz._factories
import time:        31 |         31 |                                       six.moves.winreg
import time:       262 |        293 |                                     dateutil.tz.win
import time:       671 |       2698 |                                   dateutil.tz.tz
import time:       219 |       2917 |                                 dateutil.tz
import time:      1987 |       8353 |                               pandas._libs.tslibs.timezones
import time:      1965 |       1965 |                                 pandas._libs.properties
import time:       286 |       2251 |                               pandas.util._decorators
import time:       709 |        709 |                                   calendar
import time:       837 |       1546 |                                 _strptime
import time:       518 |        518 |                                     signal
import time:      1250 |       1250 |                                     fcntl
import time:        49 |         49 |                                     msvcrt
import time:      1297 |       1297 |                                     _posixsubprocess
import time:      1854 |       1854 |                                     select
import time:       569 |        569 |                                     selectors
import time:       647 |       6181 |                                   subprocess
import time:       289 |       6469 |                                 pandas._config.localization
import time:      2858 |      10873 |                               pandas._libs.tslibs.fields
import time:      3756 |      25231 |                             pandas._libs.tslibs.timedeltas
import time:      2291 |       2291 |                             pandas._libs.tslibs.tzconversion
import time:      3435 |      33321 |                           pandas._libs.tslibs.timestamps
import time:       260 |        260 |                           dateutil.easter
import time:      4413 |      37994 |                         pandas._libs.tslibs.offsets
import time:      2993 |       2993 |                             _decimal
import time:       262 |       3255 |                           decimal
import time:        21 |         21 |                                 _string
import time:       546 |        566 |                               string
import time:       196 |        196 |                               dateutil._common
import time:      1184 |       1946 |                             dateutil.parser._parser
import time:       327 |        327 |                             dateutil.parser.isoparser
import time:       331 |       2603 |                           dateutil.parser
import time:      2401 |       2401 |                           pandas._libs.tslibs.strptime
import time:      2166 |      10424 |                         pandas._libs.tslibs.parsing
import time:      1980 |      51857 |                       pandas._libs.tslibs.conversion
import time:      2888 |       2888 |                       pandas._libs.tslibs.period
import time:      1547 |       1547 |                       pandas._libs.tslibs.vectorized
import time:       255 |      63995 |                     pandas._libs.tslibs
import time:        16 |      64010 |                   pandas._libs.tslibs.nattype
import time:      1530 |       1530 |                   pandas._libs.ops_dispatch
import time:      2156 |      67696 |                 pandas._libs.missing
import time:      3484 |      71179 |               pandas._libs.hashtable
import time:      3161 |       3161 |               pandas._libs.algos
import time:      2377 |      76717 |             pandas._libs.interval
import time:       200 |      78929 |           pandas._libs
import time:        15 |      78943 |         pandas._libs.tslibs
import time:       626 |      79569 |       pandas.errors
import time:      1255 |      80926 |     pandas.core.config_init
import time:      1951 |       1951 |         pandas.core.dtypes
import time:       241 |        241 |           pyarrow
import time:     19069 |      19309 |         pandas._libs.lib
import time:      1096 |       1096 |           pandas.core.dtypes.generic
import time:       476 |       1571 |         pandas.core.dtypes.base
import time:       439 |        439 |         pandas.core.dtypes.inference
import time:     11228 |      34497 |       pandas.core.dtypes.dtypes
import time:       406 |        406 |         pandas.core.dtypes.common
import time:       473 |        878 |       pandas.core.dtypes.missing
import time:       158 |        158 |             pandas.io
import time:       374 |        532 |           pandas.io._util
import time:       706 |       1237 |         pandas.core.dtypes.cast
import time:       277 |        277 |           pandas.core.dtypes.astype
import time:       298 |        575 |         pandas.core.dtypes.concat
import time:       108 |        108 |           pandas.core.array_algos
