import time: self [us] | cumulative | imported package
import time:       293 |        293 |                           python_multipart.exceptions
import time:       295 |        588 |                         python_multipart.decoders
import time:       719 |       1306 |                       python_multipart.multipart
import time:       237 |       1542 |                     python_multipart
import time:       658 |       2200 |                   starlette.formparsers
import time:       773 |      18647 |                 starlette.requests
import time:       242 |        242 |                   starlette.background
import time:       489 |        730 |                 starlette.responses
import time:       402 |        402 |                   starlette.websockets
import time:       169 |        570 |                 shiny._connection
import time:       140 |        140 |                 shiny._fileupload
import time:       306 |        306 |                   starlette.staticfiles
import time:       231 |        537 |                 shiny.http_staticfiles
import time:       227 |        227 |                 shiny.input_handler
import time:       156 |        156 |                 shiny.session._utils
import time:      2057 |      23061 |               shiny.session._session
import time:       116 |      23177 |             shiny.session
import time:       273 |      23449 |           shiny.ui._accordion
import time:       275 |        275 |                 shiny.ui._html_deps_py_shiny
import time:       185 |        460 |               shiny.html_dependencies
import time:       388 |        388 |                 glob
import time:       261 |        649 |               shiny.ui._include_helpers
import time:       148 |        148 |                 shiny.ui._theme_presets
import time:       135 |        135 |                 shiny.ui._utils
import time:       842 |       1124 |               shiny.ui._theme
import time:       156 |       2388 |             shiny.ui._html_deps_external
import time:       266 |       2654 |           shiny.ui._bootstrap
import time:       190 |        190 |                   shinychat._typing_extensions
import time:       276 |        465 |                 shinychat._utils
import time:       271 |        271 |                 shinychat._chat_bookmark
import time:       693 |        693 |                   shinychat._chat_types
import time:        55 |         55 |                   chatlas
import time:        49 |         49 |                     langchain_core
import time:        11 |         59 |                   langchain_core.messages
import time:        45 |         45 |                       openai
import time:         8 |         52 |                     openai.types
import time:         9 |         61 |                   openai.types.chat
import time:        42 |         42 |                     anthropic
import time:         8 |         50 |                   anthropic.types
import time:        41 |         41 |                         google
import time:         8 |         48 |                       google.generativeai
import time:         7 |         55 |                     google.generativeai.types
import time:         8 |         62 |                   google.generativeai.types.generation_types
import time:        42 |         42 |                   ollama
import time:       329 |       1348 |                 shinychat._chat_normalize
import time:       553 |        553 |                 shinychat._chat_provider_types
import time:      1149 |       1149 |                 shinychat._chat_tokenizer
import time:       146 |        146 |                   shinychat.__version
import time:      2430 |       2575 |                 shinychat._html_deps_py_shiny
import time:       776 |       7136 |               shinychat._chat
import time:       456 |        456 |               shinychat._markdown_stream
import time:       263 |       7854 |             shinychat
import time:       141 |        141 |             shinychat.express
import time:        53 |         53 |                 pydantic
import time:       266 |        319 |               shinychat._chat_normalize_chatlas
import time:       138 |        457 |             shinychat.types
import time:       116 |       8567 |           shiny.ui._chat
import time:       290 |        290 |           shiny.ui._download_button
import time:       268 |        268 |           shiny.ui._input_check_radio
import time:       187 |        187 |           shiny.ui._input_dark_mode
import time:       189 |        189 |           shiny.ui._input_date
import time:       179 |        179 |           shiny.ui._input_file
import time:       162 |        162 |           shiny.ui._input_numeric
import time:       157 |        157 |           shiny.ui._input_password
import time:       662 |        662 |           shiny.ui._input_select
import time:       349 |        349 |           shiny.ui._input_slider
import time:       152 |        152 |             shiny.ui._input_task_button
import time:       653 |        805 |           shiny.ui._input_submit_textarea
import time:       255 |        255 |           shiny.ui._input_text
import time:       388 |        388 |           shiny.ui._input_update
import time:       274 |        274 |           shiny.ui._insert
import time:       699 |        699 |           shiny.ui._layout
import time:       258 |        258 |           shiny.ui._layout_columns
import time:       135 |        135 |           shiny.ui._markdown
import time:        88 |         88 |           shiny.ui._markdown_stream
import time:       114 |        114 |           shiny.ui._modal
import time:       746 |        746 |             shiny.ui._sidebar
import time:       565 |       1310 |           shiny.ui._navs
import time:       161 |        161 |           shiny.ui._navs_dynamic
import time:       102 |        102 |           shiny.ui._notification
import time:       325 |        325 |           shiny.ui._toast
import time:       304 |        304 |             shiny.ui._plot_output_opts
import time:       182 |        486 |           shiny.ui._output
import time:       263 |        263 |           shiny.ui._page
import time:       107 |        107 |           shiny.ui._popover
import time:       112 |        112 |           shiny.ui._progress
import time:       688 |        688 |           shiny.ui._valuebox
import time:       134 |        134 |             shiny.ui.dataframe._data_frame
import time:       104 |        237 |           shiny.ui.dataframe
import time:      1059 |      53597 |         shiny.ui
import time:        91 |         91 |           shiny.render._data_frame_utils
import time:       176 |        176 |                       narwhals._exceptions
import time:       407 |        582 |                     narwhals.dependencies
import time:       267 |        267 |                         narwhals._enum
import time:       399 |        399 |                         narwhals._typing_compat
import time:       330 |        330 |                         narwhals.exceptions
import time:      1137 |       2131 |                       narwhals._utils
import time:       593 |       2723 |                     narwhals.dtypes
import time:       547 |        547 |                       narwhals._expression_parsing
import time:       134 |        134 |                         narwhals.expr_cat
import time:       304 |        304 |                         narwhals.expr_dt
import time:       249 |        249 |                         narwhals.expr_list
import time:       212 |        212 |                         narwhals.expr_name
import time:       269 |        269 |                         narwhals.expr_str
import time:       110 |        110 |                         narwhals.expr_struct
import time:       582 |        582 |                                 narwhals._compliant.typing
import time:      1823 |       1823 |                                 narwhals._translate
import time:       770 |       3175 |                               narwhals._compliant.dataframe
import time:       585 |        585 |                                 narwhals._compliant.any_namespace
import time:       283 |        283 |                                 narwhals._compliant.column
import time:       517 |        517 |                                 narwhals._compliant.namespace
import time:      1883 |       3267 |                               narwhals._compliant.expr
import time:       454 |        454 |                               narwhals._compliant.group_by
import time:       608 |        608 |                               narwhals._compliant.selectors
import time:       917 |        917 |                               narwhals._compliant.series
import time:       123 |        123 |                               narwhals._compliant.window
import time:       150 |       8691 |                             narwhals._compliant
import time:       289 |       8980 |                           narwhals.plugins
import time:       209 |        209 |                           narwhals._constants
import time:       605 |        605 |                           narwhals._native
import time:       362 |      10154 |                         narwhals.translate
import time:       599 |      12027 |                       narwhals.expr
import time:       284 |      12857 |                     narwhals.selectors
import time:       803 |        803 |                       narwhals._typing
import time:       477 |        477 |                       narwhals.functions
import time:       252 |        252 |                       narwhals.schema
import time:       329 |        329 |                           narwhals.typing
import time:       239 |        567 |                         narwhals.series_cat
import time:       320 |        320 |                         narwhals.series_dt
import time:       113 |        113 |                         narwhals.series_list
import time:       251 |        251 |                         narwhals.series_str
import time:       189 |        189 |                         narwhals.series_struct
import time:       624 |       2062 |                       narwhals.series
import time:       777 |       4370 |                     narwhals.dataframe
import time:       295 |      20825 |                   narwhals
import time:       291 |        291 |                     narwhals.stable.v1.dependencies
import time:       231 |        231 |                       narwhals.stable.v1._dtypes
import time:       100 |        331 |                     narwhals.stable.v1.dtypes
import time:        84 |         84 |                     narwhals.stable.v1.selectors
import time:       207 |        207 |                     narwhals.stable.v1.typing
import time:       970 |       1881 |                   narwhals.stable.v1
import time:       274 |      22979 |                 narwhals.stable
import time:        11 |      22989 |               narwhals.stable.v1
import time:       961 |      23950 |             shiny.render._data_frame_utils._types
import time:       785 |      24735 |           shiny.render._data_frame_utils._selection
import time:       471 |        471 |               shiny.render._data_frame_utils._html
import time:       310 |        780 |             shiny.render._data_frame_utils._tbl_data
import time:       302 |       1082 |           shiny.render._data_frame_utils._styles
import time:       379 |      26284 |         shiny.render._data_frame_utils._datagridtable
import time:       230 |        230 |         shiny.render._data_frame_utils._patch
import time:       496 |        496 |         shiny.render._data_frame_utils._reactive_method
import time:       775 |      81380 |       shiny.render._data_frame
import time:       142 |        142 |       shiny.render._deprecated
import time:       103 |        103 |         shiny.render.renderer._utils
import time:       243 |        345 |       shiny.render._express
import time:       127 |        127 |           shiny.render._coordmap
import time:       253 |        380 |         shiny.render._try_render_plot
import time:       502 |        881 |       shiny.render._render
import time:       213 |      86419 |     shiny.render
import time:       147 |        147 |         starlette.middleware
import time:       317 |        317 |         starlette.middleware.base
import time:       248 |        248 |         starlette.middleware.errors
import time:       200 |        200 |           starlette._exception_handler
import time:       440 |        639 |         starlette.middleware.exceptions
import time:       366 |        366 |           starlette.convertors
import time:       927 |       1293 |         starlette.routing
import time:       286 |       2927 |       starlette.applications
import time:       301 |        301 |         shiny._hostenv
import time:       308 |        609 |       shiny._autoreload
import time:        94 |         94 |       shiny._error
import time:       385 |       4014 |     shiny._app
import time:       617 |        617 |           gettext
import time:       424 |        424 |             click._compat
import time:        89 |         89 |               click.globals
import time:       351 |        351 |               click.utils
import time:       400 |        839 |             click.exceptions
import time:       681 |       1943 |           click.types
import time:       173 |        173 |           click._utils
import time:       375 |        375 |             click.parser
import time:       819 |       1194 |           click.formatting
import time:       343 |        343 |           click.termui
import time:       963 |       5231 |         click.core
import time:       370 |        370 |         click.decorators
import time:       193 |       5793 |       click
import time:       597 |        597 |             logging.handlers
import time:       889 |       1485 |           logging.config
import time:      1101 |       1101 |           configparser
import time:       134 |        134 |           uvicorn._compat
import time:      1009 |       1009 |           uvicorn._types
import time:       104 |        104 |           uvicorn.importer
import time:       257 |        257 |           uvicorn.logging
import time:        85 |         85 |             uvicorn.middleware
import time:       133 |        217 |           uvicorn.middleware.asgi2
import time:       177 |        177 |           uvicorn.middleware.message_logger
import time:       729 |        729 |           uvicorn.middleware.proxy_headers
import time:        54 |         54 |             a2wsgi
import time:       165 |        219 |           uvicorn.middleware.wsgi
import time:       369 |       5798 |         uvicorn.config
import time:       166 |        166 |           uvicorn.server
import time:       397 |        397 |                     multiprocessing.process
import time:       626 |        626 |                     multiprocessing.reduction
import time:       481 |       1504 |                   multiprocessing.context
import time:       478 |       1981 |                 multiprocessing
import time:      2074 |       2074 |                   _multiprocessing
import time:       292 |        292 |                   multiprocessing.util
import time:        59 |         59 |                   _winapi
import time:       540 |       2964 |                 multiprocessing.connection
import time:       163 |       5107 |               uvicorn._subprocess
import time:       248 |       5354 |             uvicorn.supervisors.basereload
import time:       337 |        337 |             uvicorn.supervisors.multiprocess
import time:       368 |        368 |                 watchfiles.filters
import time:      4822 |       4822 |                   watchfiles._rust_notify
import time:       557 |       5379 |                 watchfiles.main
import time:       478 |        478 |                 watchfiles.run
import time:       231 |        231 |                 watchfiles.version
import time:       262 |       6716 |               watchfiles
import time:       163 |       6879 |             uvicorn.supervisors.watchfilesreload
import time:       103 |      12671 |           uvicorn.supervisors
import time:       513 |      13349 |         uvicorn.main
import time:       146 |      19292 |       uvicorn
import time:       224 |        224 |       shiny._static
import time:       244 |        244 |             shiny.express._recall_context
import time:       470 |        714 |           shiny.express.ui._cm_components
import time:       128 |        128 |           shiny.express.ui._hold
import time:       541 |        541 |           shiny.express.ui._insert
import time:       329 |        329 |                     importlib.resources.abc
import time:       324 |        324 |                     importlib.resources._adapters
import time:       334 |        986 |                   importlib.resources._common
import time:       264 |        264 |                   importlib.resources._legacy
import time:       187 |       1436 |                 importlib.resources
import time:       343 |       1778 |               importlib.abc
import time:       128 |        128 |               shiny.express._is_express
import time:       146 |        146 |               shiny.express._stub_session
import time:        93 |         93 |                     shiny.express.expressify_decorator._func_displayhook
import time:       188 |        188 |                     shiny.express.expressify_decorator._helpers
import time:       173 |        173 |                     shiny.express.expressify_decorator._node_transformers
import time:       347 |        799 |                   shiny.express.expressify_decorator._expressify
import time:        86 |        884 |                 shiny.express.expressify_decorator
import time:        15 |        898 |               shiny.express.expressify_decorator._func_displayhook
import time:       366 |       3315 |             shiny.express._run
import time:       128 |       3442 |           shiny.express.ui._page
import time:       529 |       5352 |         shiny.express.ui
import time:       165 |        165 |         shiny.express._module
import time:       116 |        116 |         shiny.express._output
import time:       244 |       5876 |       shiny.express
import time:       106 |        106 |       shiny.express._utils
import time:       649 |      31938 |     shiny._main
import time:       300 |     180841 |   shiny
import time:       366 |        366 |     logger
import time:       440 |        806 |   config
import time:       214 |        214 |   tabs
import time:       470 |        470 |           matplotlib._api.deprecation
import time:       985 |       1454 |         matplotlib._api
import time:       327 |        327 |         matplotlib._version
import time:      3406 |       3406 |           matplotlib._c_internal_utils
import time:       857 |       4263 |         matplotlib.cbook
import time:       277 |        277 |         matplotlib._docstring
import time:       726 |        726 |             matplotlib.backends.registry
import time:       276 |       1002 |           matplotlib.backends
import time:       279 |        279 |               PIL._version
import time:       284 |        562 |             PIL
import time:      2348 |       2348 |               PIL.ExifTags
import time:       434 |        434 |               PIL.ImageMode
import time:       714 |        714 |               PIL.TiffTags
import time:       246 |        246 |               PIL._binary
import time:       365 |        365 |               PIL._deprecate
import time:       184 |        184 |               PIL._util
import time:        66 |         66 |               defusedxml
import time:     12406 |      12406 |               PIL._imaging
import time:      2076 |      18835 |             PIL.Image
import time:      1329 |       1329 |               fractions
import time:       505 |        505 |               PIL.ImageChops
import time:       841 |        841 |               PIL.ImageFile
import time:       364 |        364 |                 PIL.GimpGradientFile
import time:       300 |        300 |                 PIL.GimpPaletteFile
import time:       279 |        279 |                 PIL.ImageColor
import time:       302 |        302 |                 PIL.PaletteFile
import time:       363 |       1607 |               PIL.ImagePalette
import time:       211 |        211 |               PIL.ImageSequence
import time:      1351 |       5842 |             PIL.PngImagePlugin
import time:       481 |        481 |             matplotlib._cm
import time:      3100 |       3100 |                   matplotlib._path
import time:       391 |        391 |                     matplotlib.bezier
import time:       629 |       1020 |                   matplotlib.path
import time:      1052 |       5172 |                 matplotlib.transforms
import time:      1096 |       6268 |               matplotlib.ticker
import time:       632 |       6899 |             matplotlib.scale
import time:      3383 |       3383 |             matplotlib._image
import time:       854 |        854 |             matplotlib._color_data
import time:      1867 |      38720 |           matplotlib.colors
import time:      1090 |       1090 |               pyparsing.warnings
import time:       586 |        586 |               pyparsing.util
import time:       500 |        500 |                 pyparsing.unicode
import time:      1426 |       1926 |               pyparsing.exceptions
import time:       402 |        402 |                 pyparsing.results
import time:       508 |        910 |               pyparsing.actions
import time:      6510 |       6510 |               pyparsing.core
import time:      1699 |       1699 |               pyparsing.helpers
import time:       270 |        270 |                     unittest.util
import time:       346 |        616 |                   unittest.result
import time:       708 |        708 |                     difflib
import time:       574 |       1281 |                   unittest.case
import time:       376 |        376 |                   unittest.suite
import time:       524 |        524 |                   unittest.loader
import time:      1201 |       1201 |                     argparse
import time:       210 |        210 |                       unittest.signals
import time:       350 |        559 |                     unittest.runner
import time:       293 |       2053 |                   unittest.main
import time:       286 |       5133 |                 unittest
import time:       364 |       5497 |               pyparsing.testing
import time:      2579 |       2579 |               pyparsing.common
import time:       715 |      21509 |             pyparsing
import time:       484 |      21993 |           matplotlib._fontconfig_pattern
import time:       458 |        458 |           matplotlib._enums
import time:       598 |        598 |           cycler
import time:       765 |      63532 |         matplotlib.rcsetup
import time:      6733 |       6733 |         matplotlib.ft2font
import time:       300 |        300 |           kiwisolver.exceptions
import time:      3420 |       3719 |         kiwisolver._cext
import time:      1755 |       1755 |             matplotlib.artist
import time:       954 |       2708 |           matplotlib.colorizer
import time:       911 |        911 |           matplotlib._cm_listed
import time:       613 |        613 |           matplotlib._cm_multivar
import time:       800 |        800 |           matplotlib._cm_bivar
import time:      2712 |       7742 |         matplotlib.cm
import time:      6210 |      94254 |       matplotlib
import time:       507 |        507 |             matplotlib._pylab_helpers
import time:      1024 |       1531 |           matplotlib.backend_tools
import time:       279 |        279 |                     xml
import time:       461 |        740 |                   xml.parsers
import time:      2807 |       2807 |                   pyexpat
import time:       362 |       3908 |                 xml.parsers.expat
import time:      1144 |       5051 |               plistlib
import time:       808 |        808 |                 matplotlib._mathtext_data
import time:       739 |       1546 |               matplotlib._afm
import time:      3072 |       9668 |             matplotlib.font_manager
import time:       384 |        384 |               matplotlib.hatch
import time:       633 |        633 |                 matplotlib.markers
import time:      3617 |       4250 |               matplotlib.lines
import time:     13227 |      17860 |             matplotlib.patches
import time:      1342 |       1342 |               matplotlib._text_helpers
import time:      1406 |       1406 |               matplotlib.dviread
import time:      1986 |       1986 |                 matplotlib._mathtext
import time:       483 |       2468 |               matplotlib.mathtext
import time:       321 |        321 |               matplotlib.texmanager
import time:       692 |       6227 |             matplotlib.textpath
import time:      3700 |      37455 |           matplotlib.text
import time:       381 |        381 |           matplotlib._tight_bbox
import time:     13325 |      13325 |             matplotlib.collections
import time:      1222 |      14546 |           matplotlib.widgets
import time:       547 |        547 |           matplotlib.backend_managers
import time:       322 |        322 |               matplotlib._layoutgrid
import time:      1181 |       1502 |             matplotlib._constrained_layout
import time:       416 |        416 |             matplotlib._tight_layout
import time:       361 |       2278 |           matplotlib.layout_engine
import time:      3137 |      59872 |         matplotlib.backend_bases
import time:      3692 |      63563 |       matplotlib.image
import time:      7577 |       7577 |         matplotlib.style.core
import time:       384 |       7961 |       matplotlib.style
import time:       235 |        235 |         matplotlib._blocking_input
import time:      4855 |       4855 |               matplotlib.offsetbox
import time:       490 |        490 |                 matplotlib.units
import time:      4590 |       5079 |               matplotlib.axis
import time:       384 |        384 |               matplotlib.gridspec
import time:      1190 |       1190 |               matplotlib.spines
import time:      1892 |       1892 |               matplotlib.table
import time:      3862 |      17260 |             matplotlib.axes._base
import time:       463 |        463 |               matplotlib.category
import time:      2110 |       2110 |               matplotlib.contour
import time:       593 |        593 |                 dateutil.rrule
import time:       733 |       1325 |               matplotlib.dates
import time:       785 |        785 |               matplotlib.inset
import time:       255 |        255 |                 matplotlib.container
import time:       475 |        475 |                 matplotlib.legend_handler
import time:      1315 |       2044 |               matplotlib.legend
import time:       427 |        427 |               matplotlib.mlab
import time:      2762 |       2762 |               matplotlib.quiver
import time:       275 |        275 |               matplotlib.stackplot
import time:       553 |        553 |               matplotlib.streamplot
import time:       452 |        452 |                 matplotlib.tri._triangulation
import time:      1286 |       1286 |                 matplotlib.tri._tricontour
import time:       284 |        284 |                 matplotlib.tri._trifinder
import time:       276 |        276 |                   matplotlib.tri._tritools
import time:       590 |        866 |                 matplotlib.tri._triinterpolate
import time:       811 |        811 |                 matplotlib.tri._tripcolor
import time:       218 |        218 |                 matplotlib.tri._triplot
import time:       261 |        261 |                 matplotlib.tri._trirefine
import time:       551 |       4724 |               matplotlib.tri
import time:      1606 |       1606 |               matplotlib.axes._secondary_axes
import time:     27525 |      44596 |             matplotlib.axes._axes
import time:       237 |      62093 |           matplotlib.axes
import time:      6347 |       6347 |           matplotlib.projections.geo
import time:      4610 |       4610 |           matplotlib.projections.polar
import time:       107 |        107 |             mpl_toolkits
import time:       281 |        281 |                 mpl_toolkits.mplot3d.proj3d
import time:      7111 |       7392 |               mpl_toolkits.mplot3d.art3d
import time:      3152 |       3152 |               mpl_toolkits.mplot3d.axis3d
import time:      4668 |      15211 |             mpl_toolkits.mplot3d.axes3d
import time:       609 |      15927 |           mpl_toolkits.mplot3d
import time:       352 |      89327 |         matplotlib.projections
import time:      1334 |       1334 |         matplotlib.colorbar
import time:      3376 |      94271 |       matplotlib.figure
import time:      5444 |     265491 |     matplotlib.pyplot
import time:       209 |        209 |           _plotly_utils
import time:       260 |        468 |         _plotly_utils.importers
import time:       428 |        896 |       plotly
import time:        90 |         90 |         _plotly_utils.optional_imports
import time:        95 |        184 |       plotly.optional_imports
import time:       289 |        289 |         plotly.graph_objs
import time:       899 |        899 |         _plotly_utils.basevalidators
import time:       387 |        387 |             pkgutil
import time:       821 |       1207 |           plotly.io
import time:       407 |        407 |           plotly.express._special_inputs
import time:       217 |        217 |           plotly.express.trendline_functions
import time:       355 |        355 |               _plotly_utils.exceptions
import time:       246 |        246 |                 _plotly_utils.colors._swatches
import time:       294 |        294 |                 _plotly_utils.colors.colorbrewer
import time:       204 |        204 |                 _plotly_utils.colors.carto
import time:       349 |       1092 |               _plotly_utils.colors.qualitative
import time:       915 |        915 |                 _plotly_utils.colors.plotlyjs
import time:       361 |        361 |                 _plotly_utils.colors.cmocean
import time:       286 |       1561 |               _plotly_utils.colors.sequential
import time:       199 |        199 |               _plotly_utils.colors.diverging
import time:        92 |         92 |               _plotly_utils.colors.cyclical
import time:       930 |       4227 |             _plotly_utils.colors
import time:       216 |       4443 |           plotly.colors
import time:       546 |        546 |           plotly._subplots
import time:       325 |        325 |             _plotly_utils.utils
import time:       265 |        265 |             plotly.shapeannotation
import time:       884 |       1473 |           plotly.basedatatypes
import time:      5456 |      13746 |         plotly.express._core
import time:       283 |        283 |         plotly.express.imshow_utils
import time:      1054 |       1054 |             _plotly_utils.png
import time:       120 |       1174 |           _plotly_utils.data_utils
import time:       234 |       1407 |         plotly.utils
import time:       163 |        163 |                 importlib.metadata._functools
import time:       183 |        346 |               importlib.metadata._text
import time:       291 |        637 |             importlib.metadata._adapters
import time:       385 |        385 |             importlib.metadata._meta
import time:       334 |        334 |             importlib.metadata._collections
import time:       833 |        833 |             importlib.metadata._itertools
import time:       776 |       2962 |           importlib.metadata
import time:       168 |        168 |               xarray.coding
import time:       256 |        256 |                 xarray.core
import time:       256 |        256 |                     xarray.compat
import time:       338 |        594 |                   xarray.compat.npcompat
import time:       166 |        166 |                         xarray.namedarray
import time:       924 |        924 |                         xarray.namedarray._typing
import time:       861 |       1950 |                       xarray.namedarray.utils
import time:       273 |       2222 |                     xarray.compat.dask_array_compat
import time:      1215 |       1215 |                             xarray.core.utils
import time:       203 |       1417 |                           xarray.namedarray.pycompat
import time:       292 |       1709 |                         xarray.compat.array_api_compat
import time:        67 |         67 |                           cftime
import time:      1293 |       1360 |                         xarray.core.types
import time:       428 |       3495 |                       xarray.core.dtypes
import time:       353 |        353 |                         xarray.core.options
import time:        58 |         58 |                         bottleneck
import time:      3646 |       4057 |                       xarray.core.nputils
import time:       280 |       7830 |                     xarray.compat.dask_array_ops
import time:       723 |        723 |                     xarray.core.extension_array
import time:       395 |        395 |                     xarray.namedarray.parallelcompat
import time:       659 |      11829 |                   xarray.core.duck_array_ops
import time:       372 |        372 |                   xarray.core.coordinate_transform
import time:      1335 |      14128 |                 xarray.core.indexing
import time:       341 |        341 |                   xarray.computation
import time:        53 |         53 |                     bottleneck
import time:       447 |        500 |                   xarray.computation.ops
import time:       617 |        617 |                     xarray.core._typed_ops
import time:       315 |        315 |                         xarray.core.datatree_render
import time:       451 |        451 |                         xarray.core.treenode
import time:       455 |       1220 |                       xarray.core.formatting
import time:       688 |        688 |                       xarray.core.formatting_html
import time:       198 |        198 |                         xarray.namedarray._aggregations
import time:       468 |        665 |                       xarray.namedarray.core
import time:        57 |         57 |                       cftime
import time:       727 |       3356 |                     xarray.core.common
import time:       397 |       4369 |                   xarray.computation.arithmetic
import time:       310 |        310 |                     xarray.util
import time:       409 |        719 |                   xarray.util.deprecation_helpers
import time:      1077 |       7004 |                 xarray.core.variable
import time:       323 |      21710 |               xarray.coding.common
import time:       276 |        276 |               xarray.compat.pdcompat
import time:        54 |         54 |               cftime
import time:      1260 |      23465 |             xarray.coding.times
import time:       472 |      23936 |           xarray.coders
import time:       409 |        409 |               xarray.coding.cftimeindex
import time:       690 |       1099 |             xarray.coding.cftime_offsets
import time:       214 |        214 |             xarray.compat.toolzcompat
import time:       764 |        764 |               xarray.core.indexes
import time:       251 |        251 |                 xarray.structure
import time:       842 |       1092 |               xarray.structure.alignment
import time:       550 |        550 |               xarray.structure.merge
import time:       460 |       2864 |             xarray.computation.apply_ufunc
import time:       530 |        530 |             xarray.core.coordinates
import time:        60 |         60 |                 cftime
import time:       276 |        335 |               xarray.coding.calendar_ops
import time:       303 |        303 |               xarray.computation.computation
import time:       848 |        848 |               xarray.core._aggregations
import time:       935 |        935 |               xarray.core.accessor_dt
import time:       517 |        517 |               xarray.core.accessor_str
import time:       223 |        223 |                 xarray.core.dataset_utils
import time:       411 |        411 |                 xarray.core.dataset_variables
import time:       285 |        285 |                 xarray.core.eval
import time:        49 |         49 |                           cftime
import time:       648 |        696 |                         xarray.plot.utils
import time:       519 |       1214 |                       xarray.plot.facetgrid
import time:       379 |        379 |                       xarray.structure.concat
import time:       606 |       2198 |                     xarray.plot.dataarray_plot
import time:       382 |        382 |                     xarray.plot.dataset_plot
import time:       374 |       2953 |                   xarray.plot
import time:       352 |       3304 |                 xarray.plot.accessor
import time:       525 |        525 |                 xarray.structure.chunks
import time:      1672 |       6417 |               xarray.core.dataset
import time:      1294 |      10646 |             xarray.core.dataarray
import time:      1166 |       1166 |             xarray.core.groupby
import time:       465 |        465 |             xarray.core.resample_cftime
import time:      2360 |      19340 |           xarray.groupers
import time:       513 |        513 |             xarray.indexes.nd_point_index
import time:       391 |        391 |             xarray.indexes.range_index
import time:       373 |       1276 |           xarray.indexes
import time:      1419 |       1419 |                 xarray.core.datatree_mapping
import time:      1384 |       2803 |               xarray.core.datatree
import time:       361 |       3164 |             xarray.testing.assertions
import time:       101 |       3264 |           xarray.testing
import time:       370 |        370 |                     xarray.coding.variables
import time:       370 |        739 |                   xarray.coding.strings
import time:       176 |        176 |                   xarray.conventions
import time:       532 |       1446 |                 xarray.backends.common
import time:       434 |        434 |                   xarray.backends.locks
import time:       301 |        301 |                   xarray.backends.lru_cache
import time:       492 |       1225 |                 xarray.backends.file_manager
import time:       182 |        182 |                   xarray.backends.netcdf3
import time:       108 |        108 |                     xarray.backends.store
import time:       813 |        921 |                   xarray.backends.netCDF4_
import time:       437 |       1539 |                 xarray.backends.h5netcdf_
import time:       113 |        113 |                 xarray.backends.memory
import time:       372 |        372 |                 xarray.backends.plugins
import time:       286 |        286 |                 xarray.backends.pydap_
import time:       418 |        418 |                 xarray.backends.scipy_
import time:       413 |        413 |                   xarray.backends.chunks
import time:       598 |       1011 |                 xarray.backends.zarr
import time:       376 |       6781 |               xarray.backends
import time:       310 |        310 |               xarray.namedarray.daskmanager
import time:       335 |        335 |               xarray.structure.combine
import time:       499 |       7924 |             xarray.backends.api
import time:       297 |       8221 |           xarray.tutorial
import time:      5399 |       5399 |           xarray.ufuncs
import time:       578 |        578 |           xarray.backends.writers
import time:       170 |        170 |           xarray.coding.frequencies
import time:       233 |        233 |           xarray.core.extensions
import time:       362 |        362 |           xarray.core.parallel
import time:       334 |        334 |           xarray.util.print_versions
import time:      1475 |      67546 |         xarray
import time:      2477 |      86643 |       plotly.express._imshow
import time:       274 |        274 |         plotly.express._doc
import time:     37237 |      37511 |       plotly.express._chart_types
import time:       189 |        189 |         plotly.data
import time:       233 |        421 |       plotly.express.data
import time:       145 |        145 |       plotly.express.colors
import time:       921 |     126720 |     plotly.express
import time:       243 |        243 |           colorsys
import time:       186 |        186 |           seaborn.external
import time:       398 |        398 |           seaborn.external.husl
import time:       291 |        291 |                 urllib.response
import time:       396 |        686 |               urllib.error
import time:      3367 |       3367 |               _scproxy
import time:      1672 |       5725 |             urllib.request
import time:       364 |        364 |               seaborn._core
import time:       715 |       1079 |             seaborn._core.typing
import time:      1440 |       1440 |             seaborn.external.version
import time:       476 |        476 |             seaborn.external.appdirs
import time:      2325 |      11043 |           seaborn.utils
import time:       658 |        658 |             seaborn.colors.xkcd_rgb
import time:       319 |        319 |             seaborn.colors.crayons
import time:       226 |       1201 |           seaborn.colors
import time:       250 |        250 |           seaborn._compat
import time:       502 |      13821 |         seaborn.palettes
import time:       593 |      14413 |       seaborn.rcmod
import time:       440 |        440 |           seaborn._core.data
import time:       743 |       1183 |         seaborn._base
import time:      2344 |       2344 |             _statistics
import time:       559 |       2903 |           statistics
import time:       389 |        389 |               scipy.__config__
import time:       542 |        542 |               scipy.version
import time:        23 |         23 |                 scipy._distributor_init_local
import time:       202 |        224 |               scipy._distributor_init
import time:       142 |        142 |                   cython
import time:       480 |        621 |                 scipy._lib._testutils
import time:       877 |       1498 |               scipy._lib
import time:       547 |        547 |               scipy._lib._pep440
import time:      3072 |       3072 |                   scipy._cyutility
import time:      2853 |       5924 |                 scipy._lib._ccallback_c
import time:       326 |       6249 |               scipy._lib._ccallback
import time:       428 |       9874 |             scipy
import time:       310 |        310 |             scipy.stats._warnings_errors
import time:       779 |        779 |                             scipy._lib.array_api_compat.common._typing
import time:       415 |       1193 |                           scipy._lib.array_api_compat.common._helpers
import time:       126 |       1319 |                         scipy._lib.array_api_compat.common
import time:       165 |       1484 |                       scipy._lib.array_api_compat
import time:       107 |        107 |                         scipy._lib.array_api_compat._internal
import time:        95 |         95 |                         numpy.rec
import time:       766 |        766 |                           numpy._core.strings
import time:        92 |        858 |                         numpy.strings
